Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 0.2873, 'grad_norm': 2.9481284618377686, 'learning_rate': 0.0001416494845360825, 'epoch': 2.92}
{'loss': 0.2776, 'grad_norm': 2.6592111587524414, 'learning_rate': 0.00014096219931271478, 'epoch': 2.96}
{'loss': 0.2007, 'grad_norm': 2.7552297115325928, 'learning_rate': 0.00014027491408934707, 'epoch': 2.99}
{'eval_loss': 0.37621355056762695, 'eval_accuracy': 0.870128628126046, 'eval_precision': 0.8436012216355997, 'eval_recall': 0.8353246816176418, 'eval_f1': 0.8343998160949271, 'eval_mean_confidence': 0.9027350544929504, 'eval_mean_uncertainty': 0.28416356444358826, 'eval_mean_confidence_gap': 0.8372244834899902, 'eval_runtime': 36.4574, 'eval_samples_per_second': 15.936, 'eval_steps_per_second': 2.002, 'epoch': 3.0}
{'loss': 0.1821, 'grad_norm': 1.6001039743423462, 'learning_rate': 0.00013958762886597938, 'epoch': 3.02}
{'loss': 0.1573, 'grad_norm': 1.777902603149414, 'learning_rate': 0.0001389003436426117, 'epoch': 3.06}
{'loss': 0.1492, 'grad_norm': 2.3138082027435303, 'learning_rate': 0.00013821305841924398, 'epoch': 3.09}
{'loss': 0.1512, 'grad_norm': 2.4530484676361084, 'learning_rate': 0.0001375257731958763, 'epoch': 3.13}
{'loss': 0.1439, 'grad_norm': 3.621145725250244, 'learning_rate': 0.0001368384879725086, 'epoch': 3.16}
{'loss': 0.1444, 'grad_norm': 1.8098920583724976, 'learning_rate': 0.0001361512027491409, 'epoch': 3.2}
{'loss': 0.1567, 'grad_norm': 4.1083526611328125, 'learning_rate': 0.00013546391752577321, 'epoch': 3.23}
{'loss': 0.1403, 'grad_norm': 3.4012300968170166, 'learning_rate': 0.0001347766323024055, 'epoch': 3.26}
{'loss': 0.1652, 'grad_norm': 1.90056574344635, 'learning_rate': 0.0001340893470790378, 'epoch': 3.3}
{'loss': 0.1372, 'grad_norm': 1.7160779237747192, 'learning_rate': 0.0001334020618556701, 'epoch': 3.33}
{'loss': 0.1799, 'grad_norm': 2.799798011779785, 'learning_rate': 0.00013271477663230242, 'epoch': 3.37}
{'loss': 0.1426, 'grad_norm': 3.2156107425689697, 'learning_rate': 0.0001320274914089347, 'epoch': 3.4}
{'loss': 0.1161, 'grad_norm': 2.7050232887268066, 'learning_rate': 0.00013134020618556702, 'epoch': 3.44}
{'loss': 0.1846, 'grad_norm': 1.473948359489441, 'learning_rate': 0.00013065292096219933, 'epoch': 3.47}
{'loss': 0.1638, 'grad_norm': 2.726989269256592, 'learning_rate': 0.00012996563573883162, 'epoch': 3.51}
{'loss': 0.0992, 'grad_norm': 2.1136715412139893, 'learning_rate': 0.00012927835051546393, 'epoch': 3.54}
{'loss': 0.164, 'grad_norm': 2.386549711227417, 'learning_rate': 0.00012859106529209622, 'epoch': 3.57}
{'loss': 0.1492, 'grad_norm': 3.716862916946411, 'learning_rate': 0.0001279037800687285, 'epoch': 3.61}
{'loss': 0.1649, 'grad_norm': 2.994187831878662, 'learning_rate': 0.00012721649484536082, 'epoch': 3.64}
{'loss': 0.1101, 'grad_norm': 2.7992217540740967, 'learning_rate': 0.00012652920962199314, 'epoch': 3.68}
{'loss': 0.2064, 'grad_norm': 2.0568833351135254, 'learning_rate': 0.00012584192439862543, 'epoch': 3.71}
{'loss': 0.1841, 'grad_norm': 3.6640238761901855, 'learning_rate': 0.00012515463917525774, 'epoch': 3.75}
{'loss': 0.1949, 'grad_norm': 2.6325936317443848, 'learning_rate': 0.00012446735395189005, 'epoch': 3.78}
{'loss': 0.2111, 'grad_norm': 3.013312578201294, 'learning_rate': 0.00012378006872852234, 'epoch': 3.81}
{'loss': 0.1773, 'grad_norm': 2.194014549255371, 'learning_rate': 0.00012309278350515466, 'epoch': 3.85}
{'loss': 0.1405, 'grad_norm': 3.0329527854919434, 'learning_rate': 0.00012240549828178694, 'epoch': 3.88}
{'loss': 0.1992, 'grad_norm': 2.3256707191467285, 'learning_rate': 0.00012171821305841924, 'epoch': 3.92}
{'loss': 0.1454, 'grad_norm': 1.8049415349960327, 'learning_rate': 0.00012103092783505155, 'epoch': 3.95}
{'loss': 0.1548, 'grad_norm': 2.771761178970337, 'learning_rate': 0.00012034364261168385, 'epoch': 3.99}
{'eval_loss': 0.4029908776283264, 'eval_accuracy': 0.8797876918663032, 'eval_precision': 0.8516752651714983, 'eval_recall': 0.804882884561246, 'eval_f1': 0.8190522716281852, 'eval_mean_confidence': 0.9279257655143738, 'eval_mean_uncertainty': 0.20735929906368256, 'eval_mean_confidence_gap': 0.8768229484558105, 'eval_runtime': 36.4164, 'eval_samples_per_second': 15.954, 'eval_steps_per_second': 2.005, 'epoch': 4.0}
{'loss': 0.1166, 'grad_norm': 2.396106719970703, 'learning_rate': 0.00011965635738831616, 'epoch': 4.02}
{'loss': 0.0799, 'grad_norm': 1.156481385231018, 'learning_rate': 0.00011896907216494846, 'epoch': 4.05}
{'loss': 0.0949, 'grad_norm': 2.4121696949005127, 'learning_rate': 0.00011828178694158076, 'epoch': 4.09}
{'loss': 0.0949, 'grad_norm': 2.9398632049560547, 'learning_rate': 0.00011759450171821306, 'epoch': 4.12}
{'loss': 0.0772, 'grad_norm': 3.0766453742980957, 'learning_rate': 0.00011690721649484538, 'epoch': 4.16}
{'loss': 0.0862, 'grad_norm': 2.6525211334228516, 'learning_rate': 0.00011621993127147768, 'epoch': 4.19}
{'loss': 0.0929, 'grad_norm': 4.41409158706665, 'learning_rate': 0.00011553264604810997, 'epoch': 4.23}
{'loss': 0.0843, 'grad_norm': 2.106682538986206, 'learning_rate': 0.00011484536082474227, 'epoch': 4.26}
{'loss': 0.0718, 'grad_norm': 1.5128792524337769, 'learning_rate': 0.00011415807560137457, 'epoch': 4.3}
{'loss': 0.1236, 'grad_norm': 0.9136567711830139, 'learning_rate': 0.00011347079037800688, 'epoch': 4.33}
{'loss': 0.0644, 'grad_norm': 0.8108548521995544, 'learning_rate': 0.00011278350515463918, 'epoch': 4.36}
{'loss': 0.0962, 'grad_norm': 1.6094602346420288, 'learning_rate': 0.00011209621993127148, 'epoch': 4.4}
{'loss': 0.0965, 'grad_norm': 2.6494204998016357, 'learning_rate': 0.00011140893470790378, 'epoch': 4.43}
{'loss': 0.0934, 'grad_norm': 4.358099460601807, 'learning_rate': 0.0001107216494845361, 'epoch': 4.47}
{'loss': 0.0697, 'grad_norm': 2.209352731704712, 'learning_rate': 0.0001100343642611684, 'epoch': 4.5}
