Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 0.2408, 'grad_norm': 2.3237905502319336, 'learning_rate': 0.0001588316151202749, 'epoch': 2.06}
{'loss': 0.1767, 'grad_norm': 3.1037979125976562, 'learning_rate': 0.00015814432989690722, 'epoch': 2.1}
{'loss': 0.1789, 'grad_norm': 2.8455584049224854, 'learning_rate': 0.00015745704467353953, 'epoch': 2.13}
{'loss': 0.2449, 'grad_norm': 1.9594318866729736, 'learning_rate': 0.00015676975945017182, 'epoch': 2.16}
{'loss': 0.2646, 'grad_norm': 2.1241707801818848, 'learning_rate': 0.00015608247422680413, 'epoch': 2.2}
{'loss': 0.2416, 'grad_norm': 1.4987238645553589, 'learning_rate': 0.00015539518900343645, 'epoch': 2.23}
{'loss': 0.2192, 'grad_norm': 3.4967215061187744, 'learning_rate': 0.00015470790378006874, 'epoch': 2.27}
{'loss': 0.2427, 'grad_norm': 4.1107892990112305, 'learning_rate': 0.00015402061855670105, 'epoch': 2.3}
{'loss': 0.1883, 'grad_norm': 2.9875247478485107, 'learning_rate': 0.00015333333333333334, 'epoch': 2.34}
{'loss': 0.2739, 'grad_norm': 2.915572166442871, 'learning_rate': 0.00015264604810996563, 'epoch': 2.37}
{'loss': 0.2827, 'grad_norm': 3.3648507595062256, 'learning_rate': 0.00015195876288659794, 'epoch': 2.41}
{'loss': 0.2954, 'grad_norm': 3.012659788131714, 'learning_rate': 0.00015127147766323025, 'epoch': 2.44}
{'loss': 0.2462, 'grad_norm': 2.503584861755371, 'learning_rate': 0.00015058419243986254, 'epoch': 2.47}
{'loss': 0.2955, 'grad_norm': 1.8971972465515137, 'learning_rate': 0.00014989690721649486, 'epoch': 2.51}
{'loss': 0.1952, 'grad_norm': 2.2571215629577637, 'learning_rate': 0.00014920962199312717, 'epoch': 2.54}
{'loss': 0.2309, 'grad_norm': 3.016944408416748, 'learning_rate': 0.00014852233676975946, 'epoch': 2.58}
{'loss': 0.2383, 'grad_norm': 2.9539480209350586, 'learning_rate': 0.00014783505154639177, 'epoch': 2.61}
{'loss': 0.2516, 'grad_norm': 2.206240177154541, 'learning_rate': 0.00014714776632302406, 'epoch': 2.65}
{'loss': 0.2538, 'grad_norm': 3.120861768722534, 'learning_rate': 0.00014646048109965635, 'epoch': 2.68}
{'loss': 0.2841, 'grad_norm': 2.8450636863708496, 'learning_rate': 0.00014577319587628866, 'epoch': 2.71}
{'loss': 0.2984, 'grad_norm': 2.133089065551758, 'learning_rate': 0.00014508591065292098, 'epoch': 2.75}
{'loss': 0.2615, 'grad_norm': 2.199097156524658, 'learning_rate': 0.00014439862542955326, 'epoch': 2.78}
{'loss': 0.2836, 'grad_norm': 2.5441370010375977, 'learning_rate': 0.00014371134020618558, 'epoch': 2.82}
{'loss': 0.2548, 'grad_norm': 2.8492374420166016, 'learning_rate': 0.0001430240549828179, 'epoch': 2.85}
{'loss': 0.2986, 'grad_norm': 3.9149210453033447, 'learning_rate': 0.00014233676975945018, 'epoch': 2.89}
{'loss': 0.2669, 'grad_norm': 2.753674030303955, 'learning_rate': 0.0001416494845360825, 'epoch': 2.92}
{'loss': 0.2363, 'grad_norm': 2.600520610809326, 'learning_rate': 0.00014096219931271478, 'epoch': 2.96}
{'loss': 0.2305, 'grad_norm': 2.7351977825164795, 'learning_rate': 0.00014027491408934707, 'epoch': 2.99}
{'eval_loss': 0.3340062201023102, 'eval_accuracy': 0.8901922973913975, 'eval_precision': 0.8573233169220762, 'eval_recall': 0.8227111300970541, 'eval_f1': 0.8359056607467208, 'eval_mean_confidence': 0.9152464866638184, 'eval_mean_uncertainty': 0.25483131408691406, 'eval_mean_confidence_gap': 0.8584012985229492, 'eval_runtime': 36.5205, 'eval_samples_per_second': 15.909, 'eval_steps_per_second': 1.999, 'epoch': 3.0}
{'loss': 0.2035, 'grad_norm': 1.7635284662246704, 'learning_rate': 0.00013958762886597938, 'epoch': 3.02}
{'loss': 0.2, 'grad_norm': 3.1511623859405518, 'learning_rate': 0.0001389003436426117, 'epoch': 3.06}
{'loss': 0.1472, 'grad_norm': 2.725355625152588, 'learning_rate': 0.00013821305841924398, 'epoch': 3.09}
{'loss': 0.2378, 'grad_norm': 1.8415688276290894, 'learning_rate': 0.0001375257731958763, 'epoch': 3.13}
{'loss': 0.1933, 'grad_norm': 2.9816904067993164, 'learning_rate': 0.0001368384879725086, 'epoch': 3.16}
{'loss': 0.1726, 'grad_norm': 1.7484735250473022, 'learning_rate': 0.0001361512027491409, 'epoch': 3.2}
{'loss': 0.2022, 'grad_norm': 4.1788153648376465, 'learning_rate': 0.00013546391752577321, 'epoch': 3.23}
{'loss': 0.186, 'grad_norm': 2.995687246322632, 'learning_rate': 0.0001347766323024055, 'epoch': 3.26}
{'loss': 0.1802, 'grad_norm': 2.121854305267334, 'learning_rate': 0.0001340893470790378, 'epoch': 3.3}
{'loss': 0.1458, 'grad_norm': 1.885138988494873, 'learning_rate': 0.0001334020618556701, 'epoch': 3.33}
{'loss': 0.2115, 'grad_norm': 4.0538225173950195, 'learning_rate': 0.00013271477663230242, 'epoch': 3.37}
{'loss': 0.1628, 'grad_norm': 2.2179102897644043, 'learning_rate': 0.0001320274914089347, 'epoch': 3.4}
{'loss': 0.1869, 'grad_norm': 3.5059525966644287, 'learning_rate': 0.00013134020618556702, 'epoch': 3.44}
{'loss': 0.1699, 'grad_norm': 1.853753924369812, 'learning_rate': 0.00013065292096219933, 'epoch': 3.47}
{'loss': 0.2132, 'grad_norm': 3.5871269702911377, 'learning_rate': 0.00012996563573883162, 'epoch': 3.51}
{'loss': 0.1284, 'grad_norm': 2.5545380115509033, 'learning_rate': 0.00012927835051546393, 'epoch': 3.54}
{'loss': 0.1473, 'grad_norm': 2.708137273788452, 'learning_rate': 0.00012859106529209622, 'epoch': 3.57}
{'loss': 0.1843, 'grad_norm': 4.071717262268066, 'learning_rate': 0.0001279037800687285, 'epoch': 3.61}
{'loss': 0.1715, 'grad_norm': 2.7629499435424805, 'learning_rate': 0.00012721649484536082, 'epoch': 3.64}
{'loss': 0.126, 'grad_norm': 1.2308111190795898, 'learning_rate': 0.00012652920962199314, 'epoch': 3.68}
{'loss': 0.1851, 'grad_norm': 2.6009299755096436, 'learning_rate': 0.00012584192439862543, 'epoch': 3.71}
{'loss': 0.2493, 'grad_norm': 3.248621940612793, 'learning_rate': 0.00012515463917525774, 'epoch': 3.75}
{'loss': 0.2139, 'grad_norm': 2.3928277492523193, 'learning_rate': 0.00012446735395189005, 'epoch': 3.78}
{'loss': 0.2235, 'grad_norm': 2.674278497695923, 'learning_rate': 0.00012378006872852234, 'epoch': 3.81}
{'loss': 0.1458, 'grad_norm': 2.5297787189483643, 'learning_rate': 0.00012309278350515466, 'epoch': 3.85}
{'loss': 0.1471, 'grad_norm': 3.2288496494293213, 'learning_rate': 0.00012240549828178694, 'epoch': 3.88}
{'loss': 0.1723, 'grad_norm': 2.018625497817993, 'learning_rate': 0.00012171821305841924, 'epoch': 3.92}
{'loss': 0.1544, 'grad_norm': 2.5668628215789795, 'learning_rate': 0.00012103092783505155, 'epoch': 3.95}
{'loss': 0.2069, 'grad_norm': 2.820878744125366, 'learning_rate': 0.00012034364261168385, 'epoch': 3.99}
{'eval_loss': 0.37590932846069336, 'eval_accuracy': 0.887031978145589, 'eval_precision': 0.850136393344447, 'eval_recall': 0.8130413400465273, 'eval_f1': 0.8256786582549456, 'eval_mean_confidence': 0.932197093963623, 'eval_mean_uncertainty': 0.19446848332881927, 'eval_mean_confidence_gap': 0.8842110633850098, 'eval_runtime': 36.1775, 'eval_samples_per_second': 16.06, 'eval_steps_per_second': 2.018, 'epoch': 4.0}
{'loss': 0.1352, 'grad_norm': 2.234495162963867, 'learning_rate': 0.00011965635738831616, 'epoch': 4.02}
{'loss': 0.1061, 'grad_norm': 1.791359543800354, 'learning_rate': 0.00011896907216494846, 'epoch': 4.05}
{'loss': 0.0812, 'grad_norm': 3.3970868587493896, 'learning_rate': 0.00011828178694158076, 'epoch': 4.09}
{'loss': 0.131, 'grad_norm': 2.7661502361297607, 'learning_rate': 0.00011759450171821306, 'epoch': 4.12}
{'loss': 0.1288, 'grad_norm': 3.7900946140289307, 'learning_rate': 0.00011690721649484538, 'epoch': 4.16}
{'loss': 0.0591, 'grad_norm': 1.527559757232666, 'learning_rate': 0.00011621993127147768, 'epoch': 4.19}
{'loss': 0.1164, 'grad_norm': 4.6837873458862305, 'learning_rate': 0.00011553264604810997, 'epoch': 4.23}
{'loss': 0.1024, 'grad_norm': 3.216179370880127, 'learning_rate': 0.00011484536082474227, 'epoch': 4.26}
{'loss': 0.1461, 'grad_norm': 2.7289416790008545, 'learning_rate': 0.00011415807560137457, 'epoch': 4.3}
{'loss': 0.0965, 'grad_norm': 1.1446729898452759, 'learning_rate': 0.00011347079037800688, 'epoch': 4.33}
{'loss': 0.0848, 'grad_norm': 3.3110785484313965, 'learning_rate': 0.00011278350515463918, 'epoch': 4.36}
{'loss': 0.0907, 'grad_norm': 2.891547918319702, 'learning_rate': 0.00011209621993127148, 'epoch': 4.4}
{'loss': 0.104, 'grad_norm': 2.358666181564331, 'learning_rate': 0.00011140893470790378, 'epoch': 4.43}
{'loss': 0.1341, 'grad_norm': 3.0385639667510986, 'learning_rate': 0.0001107216494845361, 'epoch': 4.47}
{'loss': 0.091, 'grad_norm': 3.6333632469177246, 'learning_rate': 0.0001100343642611684, 'epoch': 4.5}
{'loss': 0.1302, 'grad_norm': 3.619426727294922, 'learning_rate': 0.00010934707903780069, 'epoch': 4.54}
{'loss': 0.1112, 'grad_norm': 2.020977020263672, 'learning_rate': 0.00010865979381443299, 'epoch': 4.57}
{'loss': 0.0891, 'grad_norm': 2.1002230644226074, 'learning_rate': 0.00010797250859106529, 'epoch': 4.6}
{'loss': 0.1288, 'grad_norm': 2.744253158569336, 'learning_rate': 0.0001072852233676976, 'epoch': 4.64}
{'loss': 0.1246, 'grad_norm': 2.289602041244507, 'learning_rate': 0.0001065979381443299, 'epoch': 4.67}
{'loss': 0.1014, 'grad_norm': 2.553736686706543, 'learning_rate': 0.0001059106529209622, 'epoch': 4.71}
{'loss': 0.0911, 'grad_norm': 1.8948642015457153, 'learning_rate': 0.0001052233676975945, 'epoch': 4.74}
{'loss': 0.1091, 'grad_norm': 2.9616873264312744, 'learning_rate': 0.00010453608247422682, 'epoch': 4.78}
{'loss': 0.0986, 'grad_norm': 4.255705833435059, 'learning_rate': 0.00010384879725085912, 'epoch': 4.81}
{'loss': 0.1115, 'grad_norm': 1.6590739488601685, 'learning_rate': 0.00010316151202749142, 'epoch': 4.85}
{'loss': 0.1122, 'grad_norm': 2.980621576309204, 'learning_rate': 0.00010247422680412371, 'epoch': 4.88}
{'loss': 0.1047, 'grad_norm': 2.059968948364258, 'learning_rate': 0.00010178694158075601, 'epoch': 4.91}
{'loss': 0.1063, 'grad_norm': 1.9784297943115234, 'learning_rate': 0.00010109965635738832, 'epoch': 4.95}
{'loss': 0.1297, 'grad_norm': 1.6093043088912964, 'learning_rate': 0.00010041237113402062, 'epoch': 4.98}
{'eval_loss': 0.42325496673583984, 'eval_accuracy': 0.8909422036531148, 'eval_precision': 0.8273249112347486, 'eval_recall': 0.8214119852752484, 'eval_f1': 0.8237941481591384, 'eval_mean_confidence': 0.9483911991119385, 'eval_mean_uncertainty': 0.14571960270404816, 'eval_mean_confidence_gap': 0.9099829792976379, 'eval_runtime': 36.3891, 'eval_samples_per_second': 15.966, 'eval_steps_per_second': 2.006, 'epoch': 5.0}
{'loss': 0.0611, 'grad_norm': 1.5144517421722412, 'learning_rate': 9.972508591065293e-05, 'epoch': 5.02}
{'loss': 0.0286, 'grad_norm': 3.149503231048584, 'learning_rate': 9.903780068728523e-05, 'epoch': 5.05}
{'loss': 0.0501, 'grad_norm': 0.8951621651649475, 'learning_rate': 9.835051546391753e-05, 'epoch': 5.09}
{'loss': 0.0617, 'grad_norm': 4.607978820800781, 'learning_rate': 9.766323024054983e-05, 'epoch': 5.12}
{'loss': 0.0652, 'grad_norm': 2.4002833366394043, 'learning_rate': 9.697594501718213e-05, 'epoch': 5.15}
{'loss': 0.0571, 'grad_norm': 2.163919687271118, 'learning_rate': 9.628865979381444e-05, 'epoch': 5.19}
{'loss': 0.0645, 'grad_norm': 2.1071834564208984, 'learning_rate': 9.560137457044674e-05, 'epoch': 5.22}
{'loss': 0.0492, 'grad_norm': 1.5362452268600464, 'learning_rate': 9.491408934707904e-05, 'epoch': 5.26}
{'loss': 0.0397, 'grad_norm': 2.3444113731384277, 'learning_rate': 9.422680412371135e-05, 'epoch': 5.29}
{'loss': 0.0764, 'grad_norm': 2.9712703227996826, 'learning_rate': 9.353951890034365e-05, 'epoch': 5.33}
{'loss': 0.0454, 'grad_norm': 1.0024515390396118, 'learning_rate': 9.285223367697595e-05, 'epoch': 5.36}
{'loss': 0.0446, 'grad_norm': 1.9726667404174805, 'learning_rate': 9.216494845360825e-05, 'epoch': 5.4}
{'loss': 0.0557, 'grad_norm': 3.4850664138793945, 'learning_rate': 9.147766323024055e-05, 'epoch': 5.43}
{'loss': 0.0897, 'grad_norm': 3.4251410961151123, 'learning_rate': 9.079037800687285e-05, 'epoch': 5.46}
{'loss': 0.0391, 'grad_norm': 3.339559555053711, 'learning_rate': 9.010309278350516e-05, 'epoch': 5.5}
{'loss': 0.058, 'grad_norm': 2.1197593212127686, 'learning_rate': 8.941580756013746e-05, 'epoch': 5.53}
{'loss': 0.0567, 'grad_norm': 1.7706321477890015, 'learning_rate': 8.872852233676977e-05, 'epoch': 5.57}
{'loss': 0.0624, 'grad_norm': 1.6415916681289673, 'learning_rate': 8.804123711340207e-05, 'epoch': 5.6}
{'loss': 0.0724, 'grad_norm': 3.106969118118286, 'learning_rate': 8.735395189003437e-05, 'epoch': 5.64}
{'loss': 0.0538, 'grad_norm': 2.4502274990081787, 'learning_rate': 8.666666666666667e-05, 'epoch': 5.67}
{'loss': 0.0446, 'grad_norm': 0.3545902967453003, 'learning_rate': 8.597938144329898e-05, 'epoch': 5.7}
{'loss': 0.0638, 'grad_norm': 1.5089927911758423, 'learning_rate': 8.529209621993127e-05, 'epoch': 5.74}
{'loss': 0.077, 'grad_norm': 1.9331297874450684, 'learning_rate': 8.460481099656357e-05, 'epoch': 5.77}
{'loss': 0.0425, 'grad_norm': 2.5211331844329834, 'learning_rate': 8.391752577319589e-05, 'epoch': 5.81}
{'loss': 0.0416, 'grad_norm': 0.8106274008750916, 'learning_rate': 8.323024054982819e-05, 'epoch': 5.84}
{'loss': 0.0588, 'grad_norm': 1.9454303979873657, 'learning_rate': 8.254295532646049e-05, 'epoch': 5.88}
{'loss': 0.0453, 'grad_norm': 1.6097733974456787, 'learning_rate': 8.185567010309279e-05, 'epoch': 5.91}
{'loss': 0.0701, 'grad_norm': 4.295638561248779, 'learning_rate': 8.116838487972509e-05, 'epoch': 5.95}
{'loss': 0.0557, 'grad_norm': 1.7323192358016968, 'learning_rate': 8.048109965635739e-05, 'epoch': 5.98}
