Number of classes: 17
Classes: ['ADJ', 'ADP', 'ADV', 'AUX', 'CCONJ', 'DET', 'INTJ', 'NOUN', 'NUM', 'PART', 'PRON', 'PROPN', 'PUNCT', 'SCONJ', 'SYM', 'VERB', 'X']
trainable params: 21,298,961 || all params: 11,787,398,434 || trainable%: 0.1807
Starting training...
{'loss': 0.2099, 'grad_norm': 2.783500909805298, 'learning_rate': 0.00015127147766323025, 'epoch': 2.44}
{'loss': 0.2207, 'grad_norm': 2.9241232872009277, 'learning_rate': 0.00015058419243986254, 'epoch': 2.47}
{'loss': 0.212, 'grad_norm': 2.587527275085449, 'learning_rate': 0.00014989690721649486, 'epoch': 2.51}
{'loss': 0.2114, 'grad_norm': 2.549405574798584, 'learning_rate': 0.00014920962199312717, 'epoch': 2.54}
{'loss': 0.2062, 'grad_norm': 2.373497247695923, 'learning_rate': 0.00014852233676975946, 'epoch': 2.58}
{'loss': 0.2206, 'grad_norm': 3.1971631050109863, 'learning_rate': 0.00014783505154639177, 'epoch': 2.61}
{'loss': 0.2216, 'grad_norm': 3.186244487762451, 'learning_rate': 0.00014714776632302406, 'epoch': 2.65}
{'loss': 0.2341, 'grad_norm': 2.2848124504089355, 'learning_rate': 0.00014646048109965635, 'epoch': 2.68}
{'loss': 0.2179, 'grad_norm': 2.155172109603882, 'learning_rate': 0.00014577319587628866, 'epoch': 2.71}
{'loss': 0.1965, 'grad_norm': 2.3176207542419434, 'learning_rate': 0.00014508591065292098, 'epoch': 2.75}
{'loss': 0.2549, 'grad_norm': 2.8975491523742676, 'learning_rate': 0.00014439862542955326, 'epoch': 2.78}
{'loss': 0.1841, 'grad_norm': 2.4793360233306885, 'learning_rate': 0.00014371134020618558, 'epoch': 2.82}
{'loss': 0.2177, 'grad_norm': 3.631133794784546, 'learning_rate': 0.0001430240549828179, 'epoch': 2.85}
{'loss': 0.2032, 'grad_norm': 2.889528751373291, 'learning_rate': 0.00014233676975945018, 'epoch': 2.89}
{'loss': 0.1986, 'grad_norm': 2.383388042449951, 'learning_rate': 0.0001416494845360825, 'epoch': 2.92}
{'loss': 0.2732, 'grad_norm': 4.144464492797852, 'learning_rate': 0.00014096219931271478, 'epoch': 2.96}
{'loss': 0.2292, 'grad_norm': 2.662442445755005, 'learning_rate': 0.00014027491408934707, 'epoch': 2.99}
{'eval_loss': 0.35183143615722656, 'eval_accuracy': 0.8893192133131619, 'eval_precision': 0.809751955378773, 'eval_recall': 0.8060889483113243, 'eval_f1': 0.7950383334114229, 'eval_mean_confidence': 0.9152340292930603, 'eval_mean_uncertainty': 0.25179097056388855, 'eval_mean_confidence_gap': 0.8586124181747437, 'eval_runtime': 16.9767, 'eval_samples_per_second': 34.223, 'eval_steps_per_second': 4.3, 'epoch': 3.0}
{'loss': 0.1458, 'grad_norm': 1.862084150314331, 'learning_rate': 0.00013958762886597938, 'epoch': 3.02}
{'loss': 0.1017, 'grad_norm': 2.8352479934692383, 'learning_rate': 0.0001389003436426117, 'epoch': 3.06}
{'loss': 0.1227, 'grad_norm': 2.3505795001983643, 'learning_rate': 0.00013821305841924398, 'epoch': 3.09}
{'loss': 0.1013, 'grad_norm': 3.3722639083862305, 'learning_rate': 0.0001375257731958763, 'epoch': 3.13}
{'loss': 0.1219, 'grad_norm': 2.849057674407959, 'learning_rate': 0.0001368384879725086, 'epoch': 3.16}
{'loss': 0.1395, 'grad_norm': 1.733617901802063, 'learning_rate': 0.0001361512027491409, 'epoch': 3.2}
{'loss': 0.1008, 'grad_norm': 1.504725456237793, 'learning_rate': 0.00013546391752577321, 'epoch': 3.23}
{'loss': 0.172, 'grad_norm': 1.0945533514022827, 'learning_rate': 0.0001347766323024055, 'epoch': 3.26}
{'loss': 0.1397, 'grad_norm': 1.6260277032852173, 'learning_rate': 0.0001340893470790378, 'epoch': 3.3}
{'loss': 0.1415, 'grad_norm': 2.4473302364349365, 'learning_rate': 0.0001334020618556701, 'epoch': 3.33}
{'loss': 0.1615, 'grad_norm': 2.396436929702759, 'learning_rate': 0.00013271477663230242, 'epoch': 3.37}
{'loss': 0.1199, 'grad_norm': 1.8310216665267944, 'learning_rate': 0.0001320274914089347, 'epoch': 3.4}
{'loss': 0.1334, 'grad_norm': 2.4629709720611572, 'learning_rate': 0.00013134020618556702, 'epoch': 3.44}
{'loss': 0.1356, 'grad_norm': 3.369211196899414, 'learning_rate': 0.00013065292096219933, 'epoch': 3.47}
{'loss': 0.1123, 'grad_norm': 1.7697269916534424, 'learning_rate': 0.00012996563573883162, 'epoch': 3.51}
{'loss': 0.1587, 'grad_norm': 2.959535837173462, 'learning_rate': 0.00012927835051546393, 'epoch': 3.54}
{'loss': 0.1517, 'grad_norm': 3.4143245220184326, 'learning_rate': 0.00012859106529209622, 'epoch': 3.57}
{'loss': 0.111, 'grad_norm': 1.7592066526412964, 'learning_rate': 0.0001279037800687285, 'epoch': 3.61}
{'loss': 0.132, 'grad_norm': 3.551100254058838, 'learning_rate': 0.00012721649484536082, 'epoch': 3.64}
{'loss': 0.116, 'grad_norm': 3.506502151489258, 'learning_rate': 0.00012652920962199314, 'epoch': 3.68}
{'loss': 0.1259, 'grad_norm': 3.044914484024048, 'learning_rate': 0.00012584192439862543, 'epoch': 3.71}
{'loss': 0.1326, 'grad_norm': 1.5985685586929321, 'learning_rate': 0.00012515463917525774, 'epoch': 3.75}
{'loss': 0.1322, 'grad_norm': 2.2864091396331787, 'learning_rate': 0.00012446735395189005, 'epoch': 3.78}
{'loss': 0.1203, 'grad_norm': 2.3151538372039795, 'learning_rate': 0.00012378006872852234, 'epoch': 3.81}
{'loss': 0.1264, 'grad_norm': 3.1118216514587402, 'learning_rate': 0.00012309278350515466, 'epoch': 3.85}
{'loss': 0.1467, 'grad_norm': 3.149994134902954, 'learning_rate': 0.00012240549828178694, 'epoch': 3.88}
{'loss': 0.1259, 'grad_norm': 2.736952304840088, 'learning_rate': 0.00012171821305841924, 'epoch': 3.92}
{'loss': 0.1722, 'grad_norm': 2.3805668354034424, 'learning_rate': 0.00012103092783505155, 'epoch': 3.95}
{'loss': 0.1088, 'grad_norm': 2.5720086097717285, 'learning_rate': 0.00012034364261168385, 'epoch': 3.99}
{'eval_loss': 0.4163148105144501, 'eval_accuracy': 0.8888956127080182, 'eval_precision': 0.8112386401866613, 'eval_recall': 0.801394372315357, 'eval_f1': 0.804579064875788, 'eval_mean_confidence': 0.9402570724487305, 'eval_mean_uncertainty': 0.17047901451587677, 'eval_mean_confidence_gap': 0.8969930410385132, 'eval_runtime': 16.4284, 'eval_samples_per_second': 35.366, 'eval_steps_per_second': 4.444, 'epoch': 4.0}
{'loss': 0.1044, 'grad_norm': 1.887094497680664, 'learning_rate': 0.00011965635738831616, 'epoch': 4.02}
{'loss': 0.0943, 'grad_norm': 4.878720760345459, 'learning_rate': 0.00011896907216494846, 'epoch': 4.05}
{'loss': 0.0458, 'grad_norm': 1.243227243423462, 'learning_rate': 0.00011828178694158076, 'epoch': 4.09}
